year,stname,fem15,fem16,fem17,fem18,fem19,fem20,fem21,fem22,fem23,fem24,fem25,fem26,fem27,fem28,fem29,fem30,fem31,fem32,fem33,fem34,fem35,fem36,fem37,fem38,fem39,fem40,fem41,fem42,fem43,fem44,fem1519,fem2034,fem3544,pctpop15,pctpop16,pctpop17,pctpop18,pctpop19,pctpop20,pctpop21,pctpop22,pctpop23,pctpop24,pctpop25,pctpop26,pctpop27,pctpop28,pctpop29,pctpop30,pctpop31,pctpop32,pctpop33,pctpop34,pctpop35,pctpop36,pctpop37,pctpop38,pctpop39,pctpop40,pctpop41,pctpop42,pctpop43,pctpop44,pctpop1819
1990,AK,3799,3670,3545,3224,3414,3519,3401,3453,3704,4092,4508,4765,4994,4991,5666,5643,5646,5731,5822,5950,5985,5445,5341,4964,5056,4801,4390,4152,4301,3219,17652,71885,47654,0.21521641314029694,0.20790845155715942,0.20082710683345795,0.18264219164848328,0.1934058517217636,0.04895319044589996,0.047311678528785706,0.04803505539894104,0.0515267439186573,0.056924253702163696,0.06271127611398697,0.06628642976284027,0.06947207450866699,0.06943034380674362,0.07882034033536911,0.07850038260221481,0.07854211330413818,0.07972455769777298,0.08099047094583511,0.08277109265327454,0.12559281289577484,0.11426113545894623,0.11207873374223709,0.10416754335165024,0.10609812289476395,0.10074704885482788,0.092122383415699,0.08712805062532425,0.0902547538280487,0.06754942238330841,0.3760480284690857
1991,AK,3875,3854,3638,3510,3526,3387,3324,3333,3366,3741,4124,4496,4815,5011,5716,5824,5885,5867,5936,6090,6101,5785,5641,5293,5440,5064,4776,4461,4280,4442,18403,70915,51283,0.21056349575519562,0.20942237973213196,0.19768516719341278,0.1907297670841217,0.19159919023513794,0.047761403024196625,0.04687301814556122,0.04699993133544922,0.04746527597308159,0.05275329574942589,0.05815412849187851,0.06339984387159348,0.06789819151163101,0.07066205888986588,0.08060353994369507,0.08212649077177048,0.08298667520284653,0.08273284882307053,0.0837058424949646,0.08587745577096939,0.11896730214357376,0.11280541121959686,0.1099974662065506,0.10321158915758133,0.10607803612947464,0.0987461730837822,0.09313027560710907,0.08698789030313492,0.08345845341682434,0.08661739528179169,0.38232895731925964
1992,AK,4163,3860,3900,3578,3821,3553,3271,3334,3305,3432,3826,4157,4619,4930,5785,5932,6072,6101,6038,6216,6293,5904,6042,5623,5773,5484,5050,4888,4599,4406,19322,70571,54062,0.21545389294624329,0.19977228343486786,0.20184245705604553,0.1851775199174881,0.19775386154651642,0.050346460193395615,0.04635048285126686,0.04724320024251938,0.04683226719498634,0.04863187298178673,0.05421490594744682,0.0589052177965641,0.06545181572437286,0.06985872238874435,0.08197417855262756,0.08405718952417374,0.08604101091623306,0.0864519402384758,0.08555922657251358,0.08808150887489319,0.11640338599681854,0.10920794308185577,0.11176057159900665,0.104010209441185,0.10678480565547943,0.10143908858299255,0.09341126680374146,0.09041471034288406,0.08506899327039719,0.08149901777505875,0.3829313814640045
1993,AK,4263,4129,3972,3693,3772,3806,3378,3243,3283,3347,3505,3804,4228,4718,5613,5940,6051,6167,6112,6170,6320,5988,6057,5919,5970,5730,5353,5082,4955,4629,19829,69365,56003,0.21498814225196838,0.2082303762435913,0.20031267404556274,0.18624237179756165,0.19022643566131592,0.05486917123198509,0.04869891330599785,0.0467526838183403,0.04732934385538101,0.04825200140476227,0.050529807806015015,0.054840337485075,0.06095293164253235,0.06801701337099075,0.0809197723865509,0.08563396334648132,0.08723419904708862,0.08890651166439056,0.08811359852552414,0.08894975483417511,0.1128510981798172,0.10692284256219864,0.10815492272377014,0.10569076985120773,0.10660143196582794,0.10231594741344452,0.09558416157960892,0.09074513614177704,0.08847740292549133,0.08265628665685654,0.37646880745887756
1994,AK,4455,4152,4244,3663,3822,3737,3585,3352,3187,3304,3395,3461,3877,4350,5368,5749,5949,6063,6084,6175,6227,5957,6072,5904,6181,5888,5512,5358,5116,4915,20336,67636,57130,0.21906962990760803,0.20416994392871857,0.20869393646717072,0.1801239252090454,0.18794256448745728,0.05525163933634758,0.05300431698560715,0.04955940693616867,0.047119878232479095,0.04884972423315048,0.05019516125321388,0.05117097496986389,0.057321544736623764,0.06431486457586288,0.07936602085828781,0.08499911427497864,0.08795611560344696,0.08964160829782486,0.08995209634304047,0.09129753708839417,0.10899702459573746,0.10427095741033554,0.10628391057252884,0.10334325581789017,0.1081918403506279,0.1030631884932518,0.09648171067237854,0.09378610551357269,0.08955015242099762,0.08603185415267944,0.3680664896965027
1995,AK,4648,4271,4339,3869,3735,3774,3533,3593,3325,3216,3395,3381,3570,4090,5003,5523,5761,5974,5924,6109,6251,5877,6054,5952,6121,6125,5665,5577,5401,5048,20862,66171,58071,0.2227974236011505,0.20472629368305206,0.20798581838607788,0.18545681238174438,0.17903365194797516,0.057034049183130264,0.053391970694065094,0.05429871007800102,0.05024859681725502,0.04860135167837143,0.05130646377801895,0.051094889640808105,0.05395112559199333,0.06180955469608307,0.07560713589191437,0.0834655687212944,0.087062306702137,0.09028124064207077,0.08952562510967255,0.09232141077518463,0.10764408856630325,0.10120370239019394,0.1042516902089119,0.1024952232837677,0.10540544986724854,0.1054743304848671,0.09755299240350723,0.0960376113653183,0.09300683438777924,0.08692806959152222,0.36449044942855835
1996,AK,4759,4503,4572,3899,3848,3703,3588,3539,3565,3372,3332,3389,3539,3800,4699,5148,5494,5740,5774,5931,6168,5862,5974,5922,6108,6087,5848,5726,5590,5278,21581,64613,58563,0.2205180525779724,0.20865575969219208,0.2118530124425888,0.1806681752204895,0.178304985165596,0.057310447096824646,0.055530622601509094,0.054772257804870605,0.055174656212329865,0.052187640219926834,0.05156857147812843,0.052450746297836304,0.054772257804870605,0.058811694383621216,0.07272530347108841,0.0796743705868721,0.08502932637929916,0.08883661031723022,0.08936282247304916,0.09179267287254333,0.1053224727511406,0.10009732842445374,0.10200980305671692,0.10112186521291733,0.104297935962677,0.10393934696912766,0.09985826909542084,0.09777504205703735,0.09545276314020157,0.09012516587972641,0.3589731454849243
1997,AK,5092,4664,4795,3988,3774,3793,3506,3604,3541,3616,3523,3340,3535,3785,4360,4820,5061,5411,5448,5706,5948,5755,5914,5803,5988,6048,5744,5902,5697,5404,22313,63049,58203,0.2282077670097351,0.20902612805366516,0.21489714086055756,0.17872989177703857,0.1691390722990036,0.06015956029295921,0.055607542395591736,0.05716188997030258,0.05616266652941704,0.0573522187769413,0.05587717518210411,0.05297467112541199,0.05606750398874283,0.0600326731801033,0.06915256381034851,0.0764484778046608,0.08027090132236481,0.08582213521003723,0.08640898019075394,0.09050104022026062,0.10219404846429825,0.09887806326150894,0.10160988569259644,0.09970276802778244,0.1028812974691391,0.10391216725111008,0.09868907183408737,0.10140370577573776,0.09788155555725098,0.09284744411706924,0.34786897897720337
1998,AK,5413,5032,4810,4108,3811,3733,3615,3547,3629,3600,3851,3550,3515,3867,4376,4483,4684,4979,5110,5366,5734,5551,5803,5775,5819,5941,5679,5813,5873,5472,23174,61905,57460,0.23358073830604553,0.21713989973068237,0.207560196518898,0.1772676259279251,0.16445153951644897,0.06030207499861717,0.058395929634571075,0.0572974719107151,0.0586220808327198,0.05815362185239792,0.06220822408795357,0.057345934212207794,0.05678055062890053,0.06246668100357056,0.07068895548582077,0.07241741567850113,0.07566432654857635,0.08042968809604645,0.08254583925008774,0.08668120205402374,0.09979116171598434,0.09660633653402328,0.10099199414253235,0.10050469636917114,0.10127045214176178,0.10339366644620895,0.09883397072553635,0.10116603225469589,0.10221023112535477,0.09523146599531174,0.3417191505432129
1999,AK,5311,5143,5071,4133,3909,3810,3603,3693,3660,3719,3894,3931,3795,3901,4532,4517,4354,4648,4675,5065,5430,5398,5668,5706,5799,5857,5645,5835,5836,5643,23567,61797,56817,0.22535748779773712,0.21822887659072876,0.21517376601696014,0.17537234723567963,0.16586752235889435,0.06165347993373871,0.058303799480199814,0.05976018309593201,0.059226177632808685,0.06018091365695,0.06301277130842209,0.06361149996519089,0.06141074746847153,0.06312604248523712,0.0733368918299675,0.07309416681528091,0.07045649737119675,0.07521400600671768,0.07565092295408249,0.08196190744638443,0.09556999057531357,0.0950067788362503,0.09975887835025787,0.10042768716812134,0.10206452012062073,0.10308534651994705,0.09935406595468521,0.10269813984632492,0.10271573811769485,0.09931886941194534,0.341239869594574
